premiership	sovereignty,pinnacle,place,seat,vanguard,mastery,top,throne,office,position,post,presidency,forefront,jurisdiction,spot,dominance,dominion,situation,lead
ministries	media,bureau,incentives,ingredients,mechanisms,instruments,means,agents,agencies,vehicles,department,factors,powers,tools,organs
tract	park,oasis,square,midway,grounds,zone,subdivision,short,portion,estate,region,section,common,center,territory,parcel,green,sector,battlefield,yard,domain,site,district,belt,field,left,corridor,desert,range,lot,commons,diamond,clearing,plot,right,terrain,land,patch,neck
productions	works,things,affairs,fruits,results,manufacture,objects,commodities,products,produces,manufacturing,construction,management,yields,outputs,outcomes
supposedly	clearly,evidently,obviously,maybe,probably,seemingly,allegedly,likely,perhaps,apparently,presumably
vested	invested,suited,clad,dressed,covered
decision	resolution,determination,finding,designation,view,choice,opinion,move,selection,conclusion,judgement,verdict,judgment,accord,outcome,award,ruling,assignment,result,option,settlement,pick,call,compromise,agreement,arrangement,diagnosis,naming
gift	endowment,souvenir,enrichment,reward,donation,acquisition,portion,tribute,offering,tip,comp,premium,relief,bonus,prize,award,generosity,accomplishment,allowance,legacy,ability,benefit,grant,subsidy,contribution,favor,aid,presentation,present
stroll	cruise,walk,constitutional,wander,parade,tour,turn,trip,hike,excursion,drift
specification	blueprint,description,spec
proves	identifies,confirms,try,verify,convince,confirm,documents,justify,validate,demonstrate,determine,explain,test,result,show,find,establishes,demonstrates
reinforce	emphasize,boost,prove,verify,confirm,increase,underline,back,validate,strengthen,affirm,enlarge,stress,support,mine,establish,line
guilty	responsible,liable,wrong,ashamed,convicted,criminal,sorry
nj	newark,jersey,princeton,us,usa,camden,america,trenton,paterson
jewelry	ice,rock,silver,earring,pendant,pin,glass,gem,jewel,accessory,clip,treasure,bead,costume,necklace,ring,jewellery,gemstone,bling,band,gold,stone,bracelet,ornament,decoration,brilliant
h	letter,drug
demos	demonstrations,protests
purified	processed,natural,plain,refined,sterile,pure,filtered,clean,concentrated,pristine,tried,absolute,straight,fresh,neat,intact,snowy
schoolgirl	teenager,babe,dame,child,colleen,doll,belle,infant,maiden,sister,chit,juvenile,missy,boy,skirt,miss,gal,girl,maid,sheila,woman,adolescent,bird,youth,chick,baby,junior
lobbying	urge,push,persuade,influencing,conversion,press,request,convincing,promote
dairy	farm
relative	relation,aunt,related,sibling,corresponding,relational,family,father,uncle,cousin,kin,analogous,mother,folk
imaginary	abstract,unreal,fantastic,invented,imagined,phantom,legendary,pretend,theoretical,fictional,hypothetical,ideal
terrible	serious,severe,creepy,dread,dire,horrible,unfortunate,unpleasant,dangerous,disturbing,awful,scary,shocking,trying,awesome
profitable	good,paid,worthwhile,fat,commercial,beneficial,practical,effective,juicy,paying,valuable,economic,rewarding,useful,successful,productive
compassion	sympathy,grace,kindness,humanity,feeling,regret,sorrow,mercy
gang	pack,squad,mob,tribe,battalion,party,association,crew,organization,team,brigade,syndicate,bunch,army,company,nest,clan,troop,ring,band
layers	thickness,bed,row,slab,floor,loops,coat,blanket,sheet
beers	loads,cocktails,wines,bottles,belts
executives	committee,bureau,jury,department,ministry,directors,commissioners,legislature,administrators,presidents,administration,panel,authority,supervisors,executive,managers,management,board,presidency,cabinet
policies	approaches,plans,methodologies,courses,morality,methods,integrity,procedures,programs,strategies
extraordinary	wonderful,exceeding,some,peculiar,exceptional,noticeable,unprecedented,abnormal,fantastic,surprising,incredible,remarkable,striking,grand,weird,awful,tremendous,superior,curious,impressive,strange,uncommon,outstanding,amazing,great,unusual,one,odd,special,terrible,marvelous,singular,terrific,rare,unique,bizarre,particular
jacking	boost,raise,hike
wolf	coyote,lover,canine
firearms	rifles,arms,pistols,guns
vodka	spirits,liquor,gin,wine,mead,whisky,alcohol,beer,brew,brandy,sake,cocktail,mum,whiskey,ale,rum
pronounced	noticeable,interesting,distinguished,remarkable,marked,striking,commanding,noisy,impressive,dramatic,obvious,outstanding,bold,prominent,definite,brilliant,decided,loud,visible
babies	infants,babes,baby,toddlers,newborn,kids,children,girls,family,boys
traveler	soul,pilgrim,carrier,runner,mortal,rover,footer,voyager,pedestrian,flyer,someone,sailor,person,courier,passenger,messenger,commuter,companion,individual,mover,rider,guest,somebody,transient,traveller,visitor,alien,tourist,migrant,walker,arrival
fraudulent	misleading,forged,crooked,false,fake
remover	solvent,strip,shed
bovine	relaxed,sober,cattle,cows,bos,confident,assured,centered,ox,relieved,detached
flew	swept,winged
ne	northeast
remembering	recognition,connection,identification,memory,retrieval,association
corrosion	decay,deterioration,rust,erosion,decomposition
